"product_id","de_title","base_handle","en_title","en_title_outdated","current_en_handle","current_en_handle_outdated","target_en_handle","status","needs_en_handle_write","collection_target_collision","store_base_handle_collision","store_en_handle_collision","market_specific_en_title_count","market_specific_en_handle_count"
"gid://shopify/Product/11015545749842","Fototapete Koi mit Lotusblüten","fototapete-koi-mit-lotusblueten","Koi Wall Mural with Lotus Flowers","false","koi-wall-mural-with-lotus-flowers","true","koi-wall-mural-with-lotus-flowers","EXACT_EN_HANDLE_BUT_OUTDATED","true","false","false","false","0","0"
"gid://shopify/Product/11004616278354","Fototapete Schwarzer Marmor mit Goldadern","fototapete-schwarzer-marmor-mit-goldadern","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545225554","Fototapete Traumwal über den Wolken","fototapete-traumwal-ueber-den-wolken","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545094482","Fototapete Korallenrote Blüten","fototapete-korallenrote-blueten","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003302379858","Fototapete Türkiser Marmor mit Koralle","fototapete-tuerkiser-marmor-mit-koralle","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300381010","Fototapete Pastell Marmor mit Türkis und Gold","fototapete-pastell-marmor-mit-tuerkis-und-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002556678482","Fototapete Pastellblumen auf petrolfarbenem Hintergrund","fototapete-pastellblumen-auf-petrolfarbenem-hintergrund","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002529055058","Fototapete Schneeberg über den Wolken","fototapete-schneeberg-ueber-den-wolken","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/10997724250450","Fototapete Magisches Einhorn mit Herzen und Regenbogen für Mädchenzimmer","fototapete-magisches-einhorn-mit-herzen-und-regenbogen-fuer-maedchenzimmer","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015546110290","0 BASE","0-base","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545684306","Fototapete Leopard im tropischen Blütenparadies","fototapete-leopard-im-tropischen-bluetenparadies","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545553234","Fototapete Koi in goldenen Wellen","fototapete-koi-in-goldenen-wellen","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545389394","Fototapete Leopardenmuster Beige","fototapete-leopardenmuster-beige","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11015545356626","Fototapete Jaguar im tropischen Paradies","fototapete-jaguar-im-tropischen-paradies","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004617490770","Fototapete Tropische Blätter in Pastell","fototapete-tropische-blaetter-in-pastell","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004617130322","Fototapete Beiger Marmor","fototapete-beiger-marmor","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004616769874","Fototapete Brauner Marmor mit Goldadern","fototapete-brauner-marmor-mit-goldadern","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004616147282","Fototapete Schwarze Betonoptik","fototapete-schwarze-betonoptik","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004615950674","Fototapete Weißer Onyx","fototapete-weisser-onyx","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004615819602","Fototapete Weißer Carrara Marmor","fototapete-weisser-carrara-marmor","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11004613787986","Fototapete Strukturputz Beige","fototapete-strukturputz-beige","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003302936914","Fototapete Mintfarbener Marmor mit Gold","fototapete-mintfarbener-marmor-mit-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003302642002","Fototapete Weißer Marmor mit Goldadern","fototapete-weisser-marmor-mit-goldadern","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003302216018","Fototapete Blauer Marmor mit Goldadern","fototapete-blauer-marmor-mit-goldadern","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301953874","Fototapete Heller Marmor in Blau und Gold","fototapete-heller-marmor-in-blau-und-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301658962","Fototapete Smaragdgrüner Marmor mit Gold","fototapete-smaragdgruener-marmor-mit-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301560658","Fototapete Marmor in Pink und Blau","fototapete-marmor-in-pink-und-blau","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301364050","Fototapete Salbeigrüner Marmor mit Gold","fototapete-salbeigruener-marmor-mit-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301101906","Fototapete Pastell Marmor in Rosa und Türkis","fototapete-pastell-marmor-in-rosa-und-tuerkis","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003301036370","Fototapete Pastell Marmor in Rosa und Hellblau","fototapete-pastell-marmor-in-rosa-und-hellblau","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300872530","Fototapete Aquarell Marmor in Salbeigrün und Gold","fototapete-aquarell-marmor-in-salbeigruen-und-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300708690","Fototapete Rosa Wellen mit goldenen Akzenten","fototapete-rosa-wellen-mit-goldenen-akzenten","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300577618","Fototapete Ginkgo Linien in Gold und Aquarell","fototapete-ginkgo-linien-in-gold-und-aquarell","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300282706","Fototapete Pastell Marmor mit goldenen Linien","fototapete-pastell-marmor-mit-goldenen-linien","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300086098","Fototapete Türkise Marmorstruktur mit goldenen Details","fototapete-tuerkise-marmorstruktur-mit-goldenen-details","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11003300053330","Fototapete Dunkle Marmorstruktur mit goldenen Akzenten","fototapete-dunkle-marmorstruktur-mit-goldenen-akzenten","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002607894866","Fototapete Pfingstrosen mit zarten Blüten im Abendlicht","fototapete-pfingstrosen-mit-zarten-blueten-im-abendlicht","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002557071698","Fototapete Elegante Lilien in zarten Rosétönen","fototapete-elegante-lilien-in-zarten-rosetoenen","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002556219730","Fototapete Tropische Blüten mit Monstera-Blättern","fototapete-tropische-blueten-mit-monstera-blaettern","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002555728210","Fototapete Elegante Pfingstrosen im Abendlicht","fototapete-elegante-pfingstrosen-im-abendlicht","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002555334994","Fototapete Zarte Kirschblüten in Rosé","fototapete-zarte-kirschblueten-in-rose","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002555236690","Fototapete Romantischer Blumenmix in Pastell","fototapete-romantischer-blumenmix-in-pastell","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002555040082","Fototapete Sanfte Pfingstrosen in Pastell","fototapete-sanfte-pfingstrosen-in-pastell","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002554843474","Fototapete Zarte Pfingstrosen auf hellem Hintergrund","fototapete-zarte-pfingstrosen-auf-hellem-hintergrund","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002554777938","Fototapete Zarte Pfingstrosen in Rosé","fototapete-zarte-pfingstrosen-in-rose","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002554581330","Fototapete Blaue Blüte mit goldenen Akzenten","fototapete-blaue-bluete-mit-goldenen-akzenten","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002554384722","Fototapete Elegante Blüten in Petrol und Gold","fototapete-elegante-blueten-in-petrol-und-gold","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002554188114","Fototapete Leuchtende Blüten bei Nacht","fototapete-leuchtende-blueten-bei-nacht","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002553991506","Fototapete Elegante Dahlien auf schwarzem Hintergrund","fototapete-elegante-dahlien-auf-schwarzem-hintergrund","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002553893202","Fototapete Zarte Blütenblätter in Pastellfarben","fototapete-zarte-bluetenblaetter-in-pastellfarben","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002553532754","Fototapete Abstrakte Blütenkomposition in Pastellfarben","fototapete-abstrakte-bluetenkomposition-in-pastellfarben","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002553106770","Fototapete Ausdrucksstarke Blumenkomposition","fototapete-ausdrucksstarke-blumenkomposition","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002538983762","Fototapete Türkise Meeresküste aus der Vogelperspektive","fototapete-tuerkise-meereskueste-aus-der-vogelperspektive","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002538819922","Fototapete Tropische Lagune mit Longtail-Booten","fototapete-tropische-lagune-mit-longtail-booten","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002528923986","Fototapete Bergsee mit majestätischem Alpenpanorama","fototapete-bergsee-mit-majestaetischem-alpenpanorama","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002528858450","Fototapete Bergsee mit schneebedeckten Gipfeln","fototapete-bergsee-mit-schneebedeckten-gipfeln","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002528760146","Fototapete Grüne Berglandschaft mit schneebedeckten Gipfeln","fototapete-gruene-berglandschaft-mit-schneebedeckten-gipfeln","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002512015698","Fototapete Türkisblauer Traumstrand aus der Vogelperspektive","fototapete-tuerkisblauer-traumstrand-aus-der-vogelperspektive","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002511917394","Fototapete Tropischer Strand bei Sonnenuntergang","fototapete-tropischer-strand-bei-sonnenuntergang","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
"gid://shopify/Product/11002511720786","Fototapete Sandweg zum sonnigen Traumstrand","fototapete-sandweg-zum-sonnigen-traumstrand","","","","","","BLOCKED_EN_TITLE_MISSING","false","false","false","false","0","0"
